CASE_ID,ACHA,AIU_CHILD,AIU_PARENT,CYF_KPL,CYF_PL_O,DA,DPW_FS,DPW_GA,DPW_SSI,DPW_TANF,EI,FSC,HACP,HH,IL_CHILD,JPO,JPO_CHILD,JPO_KPL,JPO_PL_O,MH,ID,nClose,Duration,place_Y
34871,0,1,0,1,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,4,184,T
34889,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,2,153,F
34896,1,-1,-1,0,0,-1,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,3,276,F
34902,-1,-1,0,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,4,92,T
34933,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0,3,276,F
34938,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,30,F
35045,1,0,0,0,0,-1,1,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,2,276,F
35070,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,-1,0,0,0,0,0,-1,0,2,60,F
35095,0,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,2,62,F
35137,0,0,0,1,0,1,1,0,0,1,1,0,0,-1,0,-1,0,0,-1,1,0,2,306,T
35211,0,0,0,0,-1,1,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,3,31,F
35279,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,3,122,F
35292,0,0,0,0,-1,-1,-1,0,-1,-1,0,-1,1,0,0,-1,0,0,0,-1,0,2,123,F
35343,0,0,0,0,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,4,92,F
35460,1,-1,-1,0,0,-1,-1,0,-1,-1,0,0,0,0,1,0,0,0,0,1,0,3,306,F
35475,-1,0,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,-1,-1,0,3,92,F
35485,-1,0,0,0,0,-1,1,0,1,-1,0,0,-1,0,0,0,0,0,0,-1,0,3,0,F
35486,0,0,0,1,-1,-1,-1,-1,1,1,-1,0,0,-1,0,0,0,0,0,-1,0,3,306,T
