"CASE_ID","Placement","Housing","BasicNeeds","FSC","PlacementAsY","CloseTimes","Duration","duration2"
51132,TRUE,TRUE,TRUE,TRUE,TRUE,2,366,NA
51178,TRUE,TRUE,TRUE,FALSE,FALSE,2,245,NA
51184,TRUE,FALSE,TRUE,TRUE,TRUE,2,337,NA
51196,FALSE,TRUE,TRUE,FALSE,TRUE,2,123,NA
51306,FALSE,TRUE,TRUE,FALSE,TRUE,2,123,NA
51334,FALSE,TRUE,TRUE,FALSE,FALSE,2,61,61
51337,FALSE,FALSE,TRUE,FALSE,FALSE,2,245,245
51343,TRUE,TRUE,TRUE,TRUE,TRUE,2,60,60
51388,FALSE,FALSE,FALSE,FALSE,FALSE,2,92,NA
51404,TRUE,FALSE,TRUE,FALSE,FALSE,3,60,60
51416,FALSE,FALSE,TRUE,FALSE,FALSE,2,213,213
51473,TRUE,TRUE,TRUE,TRUE,TRUE,2,123,NA
51485,FALSE,FALSE,TRUE,FALSE,FALSE,1,182,182
51645,FALSE,FALSE,TRUE,FALSE,FALSE,3,306,NA
51650,TRUE,TRUE,TRUE,FALSE,TRUE,2,0,0
51689,FALSE,TRUE,TRUE,FALSE,FALSE,4,31,31
51692,FALSE,FALSE,FALSE,FALSE,TRUE,2,214,214
51693,FALSE,FALSE,FALSE,FALSE,TRUE,2,304,304
51696,FALSE,FALSE,FALSE,FALSE,FALSE,2,61,61
51908,FALSE,TRUE,FALSE,FALSE,FALSE,4,366,NA
51910,FALSE,TRUE,TRUE,FALSE,FALSE,1,337,NA
51922,FALSE,FALSE,TRUE,FALSE,FALSE,2,31,31
51950,TRUE,TRUE,TRUE,TRUE,TRUE,5,62,NA
52005,TRUE,TRUE,FALSE,FALSE,FALSE,2,62,NA
52058,TRUE,TRUE,TRUE,TRUE,FALSE,4,62,NA
52085,FALSE,TRUE,TRUE,TRUE,FALSE,4,62,NA
52145,TRUE,TRUE,TRUE,TRUE,TRUE,3,215,NA
52184,FALSE,TRUE,TRUE,TRUE,FALSE,2,92,92
52204,FALSE,TRUE,TRUE,FALSE,TRUE,2,366,NA
52223,FALSE,TRUE,TRUE,FALSE,FALSE,3,31,31
52239,TRUE,TRUE,TRUE,FALSE,TRUE,2,153,NA
52276,FALSE,TRUE,TRUE,FALSE,FALSE,2,0,0
52283,FALSE,FALSE,FALSE,FALSE,FALSE,2,214,214
52302,FALSE,FALSE,TRUE,FALSE,FALSE,2,184,184
52338,FALSE,FALSE,TRUE,FALSE,FALSE,2,184,NA
52343,FALSE,TRUE,TRUE,TRUE,FALSE,2,214,214
52359,TRUE,TRUE,TRUE,FALSE,TRUE,2,123,NA
52372,TRUE,TRUE,TRUE,FALSE,FALSE,2,62,NA
52375,FALSE,TRUE,TRUE,TRUE,FALSE,2,123,NA
52396,FALSE,FALSE,TRUE,FALSE,FALSE,2,61,61
52405,FALSE,FALSE,TRUE,FALSE,FALSE,3,62,NA
52485,FALSE,FALSE,TRUE,FALSE,FALSE,4,30,30
52546,FALSE,FALSE,TRUE,TRUE,FALSE,3,60,60
52552,FALSE,FALSE,TRUE,FALSE,TRUE,2,275,275
52761,FALSE,TRUE,TRUE,TRUE,FALSE,3,29,29
52926,TRUE,TRUE,TRUE,FALSE,FALSE,2,245,NA
52937,TRUE,TRUE,TRUE,FALSE,FALSE,3,31,31
52947,TRUE,TRUE,FALSE,FALSE,FALSE,4,92,92
52964,FALSE,TRUE,TRUE,FALSE,TRUE,3,184,NA
52971,FALSE,FALSE,TRUE,TRUE,TRUE,2,275,275
52976,FALSE,FALSE,TRUE,TRUE,TRUE,2,91,91
53000,TRUE,FALSE,TRUE,FALSE,FALSE,2,276,NA
53005,FALSE,TRUE,TRUE,FALSE,FALSE,2,122,122
53054,FALSE,FALSE,FALSE,FALSE,TRUE,2,184,NA
53115,TRUE,TRUE,TRUE,FALSE,FALSE,2,214,214
53194,FALSE,FALSE,TRUE,FALSE,FALSE,2,29,29
53200,FALSE,TRUE,TRUE,FALSE,TRUE,2,215,NA
