"","CASE_ID","close_dt","start_dt","duration","X","nClients","nMH","nClose","ratio","CASE_ID.1","MHt"
"854",61011,2017-04-01,2016-03-01,396,854,5,1,1,0.2,61011,0
"855",61014,2017-04-01,2016-03-01,396,855,4,2,2,0.5,61014,-1
"856",61015,2016-08-01,2016-03-01,153,856,3,1,1,0.33,61015,0
"857",61020,2016-07-01,2016-03-01,122,857,3,1,1,0.33,61020,-1
"858",61022,2016-07-01,2016-03-01,122,858,4,1,1,0.25,61022,0
"859",61023,2017-04-01,2016-03-01,396,859,6,1,1,0.17,61023,0
"860",61024,2016-07-01,2016-03-01,122,860,3,2,1,0.67,61024,-1
"861",61025,2017-04-01,2016-10-01,182,861,10,5,1,0.5,61025,-1
"862",61026,2016-04-01,2016-03-01,31,862,4,2,1,0.5,61026,0
"863",61029,2017-04-01,2016-03-01,396,863,5,4,1,0.8,61029,-1
"864",61033,2017-04-01,2016-03-01,396,864,3,0,1,0,61033,NA
"865",61035,2016-04-01,2016-01-01,91,865,5,1,1,0.2,61035,-1
"866",61037,2017-01-01,2016-03-01,306,866,9,2,1,0.22,61037,-1
"867",61039,2016-10-01,2016-03-01,214,867,4,3,1,0.75,61039,0
"868",61040,2016-05-01,2016-03-01,61,868,7,2,1,0.29,61040,-1
"869",61041,2016-05-01,2016-03-01,61,869,7,1,1,0.14,61041,1
"870",61043,2017-04-01,2016-03-01,396,870,7,2,1,0.29,61043,0
"871",61044,2016-04-01,2016-03-01,31,871,5,2,1,0.4,61044,0
"872",61045,2017-04-01,2016-03-01,396,872,3,1,1,0.33,61045,0
"873",61047,2016-09-01,2016-03-01,184,873,4,2,1,0.5,61047,-1
"874",61053,2016-05-01,2016-04-01,30,874,3,0,1,0,61053,NA
"875",61054,2016-11-01,2016-04-01,214,875,3,1,1,0.33,61054,0
"876",61055,2016-05-01,2016-03-01,61,876,5,1,1,0.2,61055,-1
"877",61056,2016-04-01,2016-03-01,31,877,5,3,1,0.6,61056,-1
"878",61057,2017-04-01,2016-04-01,365,878,6,2,1,0.33,61057,0
"879",61058,2016-07-01,2016-04-01,91,879,5,1,1,0.2,61058,-1
"880",61060,2016-07-01,2016-04-01,91,880,5,2,1,0.4,61060,0
"881",61061,2016-05-01,2016-04-01,30,881,5,1,1,0.2,61061,0
"882",61062,2016-08-01,2016-04-01,122,882,3,0,1,0,61062,NA
"883",61063,2017-04-01,2016-03-01,396,883,3,2,1,0.67,61063,0
"884",61064,2017-04-01,2016-04-01,365,884,6,3,1,0.5,61064,-1
"885",61065,2017-04-01,2016-04-01,365,885,4,2,1,0.5,61065,-1
"886",61066,2016-10-01,2016-04-01,183,886,4,2,1,0.5,61066,-1
"887",61067,2016-07-01,2016-04-01,91,887,7,2,1,0.29,61067,-1
"888",61068,2017-04-01,2016-04-01,365,888,3,2,1,0.67,61068,0
"889",61071,2017-04-01,2016-04-01,365,889,5,2,1,0.4,61071,0
"890",61073,2017-04-01,2016-04-01,365,890,6,2,1,0.33,61073,0
"891",61074,2016-07-01,2016-04-01,91,891,8,3,1,0.38,61074,0
"892",61080,2016-10-01,2016-04-01,183,892,5,1,1,0.2,61080,0
"893",61083,2017-04-01,2016-04-01,365,893,6,3,2,0.5,61083,0
"894",61084,2017-04-01,2016-04-01,365,894,3,1,1,0.33,61084,-1
"895",61085,2016-05-01,2016-04-01,30,895,3,1,1,0.33,61085,0
"896",61086,2016-04-01,2016-04-01,0,896,4,0,1,0,61086,NA
"897",61089,2016-09-01,2016-04-01,153,897,5,0,1,0,61089,NA
"898",61095,2016-09-01,2016-04-01,153,898,6,3,1,0.5,61095,-1
"899",61096,2017-04-01,2016-04-01,365,899,4,1,2,0.25,61096,0
"900",61100,2017-04-01,2016-04-01,365,900,4,2,1,0.5,61100,-1
"901",61101,2017-04-01,2016-04-01,365,901,4,1,1,0.25,61101,0
"902",61103,2016-08-01,2016-04-01,122,902,3,0,1,0,61103,NA
"903",61104,2016-08-01,2016-04-01,122,903,5,1,1,0.2,61104,0
"904",61106,2016-04-01,2016-04-01,0,904,9,5,1,0.56,61106,-1
